gene,rho,pval,abs_rho
KCTD9,0.017785380917130843,0.031113638387939346,0.017785380917130843
ZP3,0.017769345250113217,0.03126586823934121,0.017769345250113217
SKAP1,-0.01774316191518816,0.03151580549705019,0.01774316191518816
PKNOX1,0.017723663301238615,0.03170304409517446,0.017723663301238615
VAMP2,0.01765327229919628,0.03238694278609827,0.01765327229919628
ALDOC,0.01761226717087494,0.03279113269040237,0.01761226717087494
ARID3B,0.017589970003814605,0.03301272430954829,0.017589970003814605
ADPRM,0.017589177144839645,0.03302062736719069,0.017589177144839645
TFAP4,-0.01758379899157512,0.03307427846771041,0.01758379899157512
DCTN4,-0.017583392894765033,0.03307833261467031,0.017583392894765033
MAP9,0.017583045584725104,0.03308180021876276,0.017583045584725104
PLEKHM1,0.017560553198689842,0.033307031574079764,0.017560553198689842
CWC22,-0.017549250921384783,0.03342070327172033,0.017549250921384783
PDE4B,0.01754463490894711,0.03346722378354383,0.01754463490894711
G0S2,-0.01753362261832609,0.033578430205786915,0.01753362261832609
CRY2,0.017524914399290027,0.033666592839763386,0.017524914399290027
ZNF460,-0.017499913214510998,0.03392080737860731,0.017499913214510998
ZNF276,-0.017467008846329565,0.034257881934183367,0.017467008846329565
DPEP2,-0.01744853044539229,0.03444842789040024,0.01744853044539229
CCDC9,-0.01743907271609843,0.03454630410021333,0.01743907271609843
EXOC3,-0.017380814200748617,0.03515446313630916,0.017380814200748617
NSMF,0.017341783609318897,0.03556699433978835,0.017341783609318897
DDX11,0.01733797569073814,0.03560746208262403,0.01733797569073814
ANAPC4,-0.017285176949359167,0.03617262802814703,0.017285176949359167
VAV2,0.01726751637633911,0.036363368134404335,0.01726751637633911
TAF1C,-0.017249037028363987,0.03656386822299205,0.017249037028363987
ZNF85,0.017229783935164746,0.036773764448634484,0.017229783935164746
SSH1,0.017162821549514328,0.037511794464500973,0.017162821549514328
ZCCHC3,-0.01710634281137739,0.03814404062363009,0.01710634281137739
MYO18A,0.017102752373125682,0.038184537945146514,0.017102752373125682
CERK,0.0170481610912132,0.038804801944546656,0.0170481610912132
LZTS2,0.01702251597620798,0.03909912293554422,0.01702251597620798
EXOC1,-0.01695780255905089,0.039850257406924314,0.01695780255905089
P2RX7,-0.016906114674296584,0.040458964919815904,0.016906114674296584
MICU1,-0.01689482775113924,0.0405929299739146,0.01689482775113924
RFC5,0.01687394580492352,0.04084177022623781,0.01687394580492352
FHOD1,-0.016836635370886314,0.041289599325595595,0.016836635370886314
CD8A,0.016807219258850332,0.041645600129729406,0.016807219258850332
CASK,-0.016788674834573542,0.041871361891707023,0.016788674834573542
GZMM,-0.0167223438918371,0.04268737811986255,0.0167223438918371
SMYD3,0.016679089078172452,0.04322671807629105,0.016679089078172452
NR4A2,-0.016617457726840285,0.04400513149336684,0.016617457726840285
INTS6,0.016615386099468988,0.04403150069421738,0.016615386099468988
IGLV2-14,0.01660721520948993,0.044135635895339906,0.01660721520948993
RRP12,-0.016605472463759745,0.04415787346916783,0.016605472463759745
CPNE5,-0.01657743786534297,0.04451689874576009,0.01657743786534297
VSIG1,-0.01657660701783724,0.04452757646294376,0.01657660701783724
STARD5,0.01657537477464405,0.04454341673413759,0.01657537477464405
NEU3,-0.01655864467884278,0.04475895002106038,0.01655864467884278
PRKCH,0.01644965052334749,0.046184754372312044,0.01644965052334749
NRG1,-0.016427765875838257,0.04647560085901081,0.016427765875838257
WWP1,0.016395474962632547,0.04690756085646782,0.016395474962632547
GMEB2,-0.016378128794711008,0.04714099412865877,0.016378128794711008
NFKBIA,0.016377381567631213,0.04715107172815878,0.016377381567631213
SEC24C,-0.016336268112830957,0.047708354109906856,0.016336268112830957
SNAI1,0.016286841418534946,0.04838563837335319,0.016286841418534946
LYSMD3,0.01620790923662181,0.049483966234442456,0.01620790923662181
POLR3B,0.01618645664495914,0.04978606422706491,0.01618645664495914
UGGT1,0.01615795205849079,0.05018986041738657,0.01615795205849079
CLPTM1L,0.01615319978423127,0.050257447408519985,0.01615319978423127
GBF1,0.01615006834509185,0.05030202450852679,0.01615006834509185
WDFY2,-0.016142150715711158,0.05041488247245852,0.016142150715711158
TFIP11,0.016141449110116265,0.05042489339042669,0.016141449110116265
RNASE6,0.0161320957927645,0.05055851116730069,0.0161320957927645
MPZL3,-0.016105867796828502,0.05093477686696563,0.016105867796828502
NEDD9,-0.015993097952915418,0.05257938660631382,0.015993097952915418
EGR1,-0.015942579933695834,0.053330398744135275,0.015942579933695834
RNF144B,0.015902283290946506,0.05393586210689839,0.015902283290946506
IGHV4-59,0.01587823562732996,0.05429990777707914,0.01587823562732996
ATG2A,-0.015877339005456577,0.05431352083698055,0.015877339005456577
ENGASE,-0.0158304394175026,0.05502955865172266,0.0158304394175026
UNKL,-0.01580570944908872,0.055410280367916336,0.01580570944908872
ATF3,0.015778233707359108,0.0558358450455906,0.015778233707359108
GIGYF1,-0.01574934963890624,0.05628615451163817,0.01574934963890624
CDK5RAP2,0.015693520551870673,0.05716511385318544,0.015693520551870673
DYRK1A,-0.01566356967042217,0.05764133883293798,0.01566356967042217
CEP44,-0.015597779722954072,0.058698996918228226,0.015597779722954072
PIK3R4,-0.015590979424632206,0.05880923352334227,0.015590979424632206
LRIF1,0.015547021355313089,0.05952597175919354,0.015547021355313089
NRIP1,-0.015434085539146788,0.06140067668536033,0.015434085539146788
ZNF507,-0.015406886691384665,0.061859401543982735,0.015406886691384665
AGMAT,0.015394451624873063,0.0620700691468606,0.015394451624873063
WDTC1,-0.01538905555624013,0.06216167067516132,0.01538905555624013
IRAK2,0.015376669490532449,0.062372354648867916,0.015376669490532449
GCH1,0.015341822257775481,0.06296826780382836,0.015341822257775481
ZNF420,0.015306541461401221,0.06357638166042517,0.015306541461401221
TRDV1,-0.0153009279257736,0.0636735846945392,0.0153009279257736
ACD,0.01529665658096365,0.0637476287875635,0.01529665658096365
ZDHHC1,-0.015278764823917235,0.06405855700203639,0.015278764823917235
ARFGEF2,-0.01527636744177136,0.06410031438387656,0.01527636744177136
RNF103,0.015272403895435197,0.06416940035841982,0.015272403895435197
C12orf76,-0.015194880394652322,0.06553306649652237,0.015194880394652322
TARBP2,0.01517390868479813,0.06590604453915608,0.01517390868479813
ZCCHC4,0.015166847106594128,0.06603202642465332,0.015166847106594128
DBN1,0.015161383214451452,0.06612964094311978,0.015161383214451452
ATG7,-0.01515591305438701,0.06622748650154843,0.01515591305438701
TP53BP2,-0.015072856874902972,0.06772783290292103,0.015072856874902972
OTUD1,0.015055738685086011,0.0680405090904692,0.015055738685086011
ADAM8,-0.01502452874700964,0.06861363582002016,0.01502452874700964
TP53INP1,-0.01500769643176933,0.06892438080836323,0.01500769643176933
ZC3H3,-0.01500635222526194,0.06894924626532159,0.01500635222526194
TAF4B,0.01499743694887278,0.06911434978552261,0.01499743694887278
ATP6V0A1,-0.014977859079658934,0.06947805534642074,0.014977859079658934
NAF1,-0.0149724820912812,0.06957822032727787,0.0149724820912812
KIF20B,0.014937185340892445,0.07023869142217727,0.014937185340892445
C17orf67,0.014919153406357308,0.07057808410103938,0.014919153406357308
TIGIT,0.014917336209271307,0.07061236141836208,0.014917336209271307
SCAPER,-0.01490553239124324,0.07083534628620683,0.01490553239124324
DFFB,-0.014903591153532566,0.07087207325926624,0.014903591153532566
GBE1,0.014857090471667198,0.07175651282640165,0.014857090471667198
NBN,0.014840353725189699,0.07207704902390633,0.014840353725189699
BANK1,-0.014811245455861669,0.07263731269283431,0.014811245455861669
